Date : 2024-09-13 11:13:35
Directory : /home/jklasen/A-DRZ/argus
Total : 550 files,  89832 codes, 18732 comments, 19024 blanks, all 127588 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| detection/templates                                                                                                       |          1 |         16 |          0 |          0 |         16 |
| detection/transformer_pipeline                                                                                            |         20 |      2,224 |        216 |        461 |      2,901 |
| detection/transformer_pipeline (Files)                                                                                    |          7 |        625 |        111 |        144 |        880 |
| detection/transformer_pipeline/inference                                                                                  |          7 |        633 |         37 |        131 |        801 |
| detection/transformer_pipeline/raw_coco                                                                                   |          4 |        785 |         64 |        151 |      1,000 |
| detection/transformer_pipeline/raw_coco (Files)                                                                           |          3 |        588 |         46 |        106 |        740 |
| detection/transformer_pipeline/raw_coco/different_formats                                                                 |          1 |        197 |         18 |         45 |        260 |
| detection/transformer_pipeline/utils                                                                                      |          2 |        181 |          4 |         35 |        220 |
| stella_vslam_dense_argus                                                                                                  |        344 |     52,214 |     14,696 |     11,437 |     78,347 |
| stella_vslam_dense_argus (Files)                                                                                          |         16 |      1,373 |         61 |        206 |      1,640 |
| stella_vslam_dense_argus/.VSCodeCounter                                                                                   |          5 |        524 |          0 |         26 |        550 |
| stella_vslam_dense_argus/.VSCodeCounter/2024-09-12_15-25-53                                                               |          5 |        524 |          0 |         26 |        550 |
| stella_vslam_dense_argus/.github                                                                                          |          4 |        408 |         16 |         37 |        461 |
| stella_vslam_dense_argus/.github/ISSUE_TEMPLATE                                                                           |          3 |         77 |          7 |         28 |        112 |
| stella_vslam_dense_argus/.github/workflows                                                                                |          1 |        331 |          9 |          9 |        349 |
| stella_vslam_dense_argus/3rd                                                                                              |         77 |     28,690 |     10,910 |      5,098 |     44,698 |
| stella_vslam_dense_argus/3rd/FBoW                                                                                         |         17 |      2,320 |        894 |        539 |      3,753 |
| stella_vslam_dense_argus/3rd/FBoW (Files)                                                                                 |          1 |         16 |          0 |          7 |         23 |
| stella_vslam_dense_argus/3rd/FBoW/include                                                                                 |          8 |        558 |        317 |        115 |        990 |
| stella_vslam_dense_argus/3rd/FBoW/include/fbow                                                                            |          8 |        558 |        317 |        115 |        990 |
| stella_vslam_dense_argus/3rd/FBoW/src                                                                                     |          2 |        720 |        151 |        128 |        999 |
| stella_vslam_dense_argus/3rd/FBoW/tests                                                                                   |          1 |         74 |         25 |         14 |        113 |
| stella_vslam_dense_argus/3rd/FBoW/utils                                                                                   |          5 |        952 |        401 |        275 |      1,628 |
| stella_vslam_dense_argus/3rd/json                                                                                         |          2 |     10,982 |      7,844 |      2,075 |     20,901 |
| stella_vslam_dense_argus/3rd/json/include                                                                                 |          2 |     10,982 |      7,844 |      2,075 |     20,901 |
| stella_vslam_dense_argus/3rd/json/include/nlohmann                                                                        |          2 |     10,982 |      7,844 |      2,075 |     20,901 |
| stella_vslam_dense_argus/3rd/spdlog                                                                                       |         52 |     11,346 |      1,806 |      2,169 |     15,321 |
| stella_vslam_dense_argus/3rd/spdlog/include                                                                               |         52 |     11,346 |      1,806 |      2,169 |     15,321 |
| stella_vslam_dense_argus/3rd/spdlog/include/spdlog                                                                        |         52 |     11,346 |      1,806 |      2,169 |     15,321 |
| stella_vslam_dense_argus/3rd/spdlog/include/spdlog (Files)                                                                |          8 |        655 |        278 |        208 |      1,141 |
| stella_vslam_dense_argus/3rd/spdlog/include/spdlog/details                                                                |         14 |      2,821 |        229 |        507 |      3,557 |
| stella_vslam_dense_argus/3rd/spdlog/include/spdlog/fmt                                                                    |         15 |      6,832 |      1,144 |      1,212 |      9,188 |
| stella_vslam_dense_argus/3rd/spdlog/include/spdlog/fmt (Files)                                                            |          3 |        147 |         40 |         31 |        218 |
| stella_vslam_dense_argus/3rd/spdlog/include/spdlog/fmt/bundled                                                            |         12 |      6,685 |      1,104 |      1,181 |      8,970 |
| stella_vslam_dense_argus/3rd/spdlog/include/spdlog/sinks                                                                  |         15 |      1,038 |        155 |        242 |      1,435 |
| stella_vslam_dense_argus/3rd/tinycolormap                                                                                 |          6 |      4,042 |        366 |        315 |      4,723 |
| stella_vslam_dense_argus/3rd/tinycolormap (Files)                                                                         |          1 |        153 |          0 |         63 |        216 |
| stella_vslam_dense_argus/3rd/tinycolormap/.github                                                                         |          2 |         29 |          0 |         11 |         40 |
| stella_vslam_dense_argus/3rd/tinycolormap/.github/workflows                                                               |          2 |         29 |          0 |         11 |         40 |
| stella_vslam_dense_argus/3rd/tinycolormap/include                                                                         |          1 |      2,608 |         61 |         64 |      2,733 |
| stella_vslam_dense_argus/3rd/tinycolormap/tools                                                                           |          2 |      1,252 |        305 |        177 |      1,734 |
| stella_vslam_dense_argus/3rd/tinycolormap/tools/png-exporter                                                              |          2 |      1,252 |        305 |        177 |      1,734 |
| stella_vslam_dense_argus/TiR360_Viewer_CPU                                                                                |         22 |      1,221 |        206 |        294 |      1,721 |
| stella_vslam_dense_argus/TiR360_Viewer_CPU (Files)                                                                        |          1 |          6 |          5 |          3 |         14 |
| stella_vslam_dense_argus/TiR360_Viewer_CPU/.devcontainer                                                                  |          2 |         53 |          6 |          6 |         65 |
| stella_vslam_dense_argus/TiR360_Viewer_CPU/.github                                                                        |          1 |          6 |          5 |          2 |         13 |
| stella_vslam_dense_argus/TiR360_Viewer_CPU/Firmware_Pi                                                                    |          1 |         88 |          2 |         20 |        110 |
| stella_vslam_dense_argus/TiR360_Viewer_CPU/Start_viewer                                                                   |          3 |        188 |         34 |         65 |        287 |
| stella_vslam_dense_argus/TiR360_Viewer_CPU/config                                                                         |          1 |        106 |          0 |          0 |        106 |
| stella_vslam_dense_argus/TiR360_Viewer_CPU/include                                                                        |          4 |         71 |         20 |         29 |        120 |
| stella_vslam_dense_argus/TiR360_Viewer_CPU/include/camera_models                                                          |          3 |         59 |          8 |         23 |         90 |
| stella_vslam_dense_argus/TiR360_Viewer_CPU/include/utils                                                                  |          1 |         12 |         12 |          6 |         30 |
| stella_vslam_dense_argus/TiR360_Viewer_CPU/src                                                                            |          5 |        538 |          9 |        110 |        657 |
| stella_vslam_dense_argus/TiR360_Viewer_CPU/src (Files)                                                                    |          1 |        140 |          0 |         25 |        165 |
| stella_vslam_dense_argus/TiR360_Viewer_CPU/src/camera_models                                                              |          3 |        341 |          6 |         74 |        421 |
| stella_vslam_dense_argus/TiR360_Viewer_CPU/src/utils                                                                      |          1 |         57 |          3 |         11 |         71 |
| stella_vslam_dense_argus/TiR360_Viewer_CPU/venv                                                                           |          4 |        165 |        125 |         59 |        349 |
| stella_vslam_dense_argus/TiR360_Viewer_CPU/venv (Files)                                                                   |          1 |          3 |          0 |          1 |          4 |
| stella_vslam_dense_argus/TiR360_Viewer_CPU/venv/bin                                                                       |          3 |        162 |        125 |         58 |        345 |
| stella_vslam_dense_argus/docker                                                                                           |          2 |        500 |         17 |         30 |        547 |
| stella_vslam_dense_argus/docker/gtsam                                                                                     |          2 |        500 |         17 |         30 |        547 |
| stella_vslam_dense_argus/docker/gtsam/pangolin                                                                            |          1 |        251 |          8 |         15 |        274 |
| stella_vslam_dense_argus/docker/gtsam/socket                                                                              |          1 |        249 |          9 |         15 |        273 |
| stella_vslam_dense_argus/example                                                                                          |         22 |        987 |        338 |        339 |      1,664 |
| stella_vslam_dense_argus/example/aist                                                                                     |          2 |         69 |          2 |         21 |         92 |
| stella_vslam_dense_argus/example/dense                                                                                    |          2 |         90 |         42 |         32 |        164 |
| stella_vslam_dense_argus/example/euroc                                                                                    |          2 |        141 |         10 |         36 |        187 |
| stella_vslam_dense_argus/example/kitti                                                                                    |          6 |        252 |        105 |         96 |        453 |
| stella_vslam_dense_argus/example/nerf                                                                                     |          2 |         60 |         36 |         28 |        124 |
| stella_vslam_dense_argus/example/tum_rgbd                                                                                 |          6 |        249 |         96 |         90 |        435 |
| stella_vslam_dense_argus/example/tum_vi                                                                                   |          2 |        126 |         47 |         36 |        209 |
| stella_vslam_dense_argus/scripts                                                                                          |         12 |        702 |         74 |        243 |      1,019 |
| stella_vslam_dense_argus/scripts (Files)                                                                                  |          3 |        502 |         42 |        152 |        696 |
| stella_vslam_dense_argus/scripts/dataset_tools                                                                            |          1 |         11 |          1 |          1 |         13 |
| stella_vslam_dense_argus/scripts/ubuntu                                                                                   |          5 |        110 |         29 |         59 |        198 |
| stella_vslam_dense_argus/scripts/windows                                                                                  |          1 |         67 |          0 |         29 |         96 |
| stella_vslam_dense_argus/scripts/workflows                                                                                |          2 |         12 |          2 |          2 |         16 |
| stella_vslam_dense_argus/src                                                                                              |        168 |     16,494 |      2,878 |      4,804 |     24,176 |
| stella_vslam_dense_argus/src/stella_vslam                                                                                 |        168 |     16,494 |      2,878 |      4,804 |     24,176 |
| stella_vslam_dense_argus/src/stella_vslam (Files)                                                                         |         13 |      2,977 |        722 |        937 |      4,636 |
| stella_vslam_dense_argus/src/stella_vslam/camera                                                                          |         11 |      1,129 |        159 |        329 |      1,617 |
| stella_vslam_dense_argus/src/stella_vslam/feature                                                                         |          9 |        910 |        166 |        198 |      1,274 |
| stella_vslam_dense_argus/src/stella_vslam/initialize                                                                      |          6 |        448 |         93 |        137 |        678 |
| stella_vslam_dense_argus/src/stella_vslam/io                                                                              |         16 |        706 |         87 |        208 |      1,001 |
| stella_vslam_dense_argus/src/stella_vslam/marker_detector                                                                 |          5 |        238 |         16 |         55 |        309 |
| stella_vslam_dense_argus/src/stella_vslam/marker_model                                                                    |          4 |        109 |          8 |         43 |        160 |
| stella_vslam_dense_argus/src/stella_vslam/match                                                                           |         13 |      1,474 |        262 |        441 |      2,177 |
| stella_vslam_dense_argus/src/stella_vslam/module                                                                          |         19 |      2,295 |        520 |        639 |      3,454 |
| stella_vslam_dense_argus/src/stella_vslam/optimize                                                                        |         38 |      4,076 |        487 |      1,143 |      5,706 |
| stella_vslam_dense_argus/src/stella_vslam/optimize (Files)                                                                |         20 |      1,847 |        350 |        493 |      2,690 |
| stella_vslam_dense_argus/src/stella_vslam/optimize/internal                                                               |         17 |      1,917 |        123 |        586 |      2,626 |
| stella_vslam_dense_argus/src/stella_vslam/optimize/internal (Files)                                                       |          3 |        207 |         30 |         78 |        315 |
| stella_vslam_dense_argus/src/stella_vslam/optimize/internal/se3                                                           |          8 |      1,137 |         43 |        336 |      1,516 |
| stella_vslam_dense_argus/src/stella_vslam/optimize/internal/sim3                                                          |          6 |        573 |         50 |        172 |        795 |
| stella_vslam_dense_argus/src/stella_vslam/optimize/internal_gtsam                                                         |          1 |        312 |         14 |         64 |        390 |
| stella_vslam_dense_argus/src/stella_vslam/publish                                                                         |          4 |        254 |         68 |         88 |        410 |
| stella_vslam_dense_argus/src/stella_vslam/solve                                                                           |         11 |      1,173 |        257 |        399 |      1,829 |
| stella_vslam_dense_argus/src/stella_vslam/util                                                                            |         19 |        705 |         33 |        187 |        925 |
| stella_vslam_dense_argus/test                                                                                             |         16 |      1,315 |        196 |        360 |      1,871 |
| stella_vslam_dense_argus/test/helper                                                                                      |          6 |        203 |          3 |         65 |        271 |
| stella_vslam_dense_argus/test/stella_vslam                                                                                |         10 |      1,112 |        193 |        295 |      1,600 |
| stella_vslam_dense_argus/test/stella_vslam/feature                                                                        |          2 |        348 |         37 |         89 |        474 |
| stella_vslam_dense_argus/test/stella_vslam/match                                                                          |          1 |         42 |          0 |         16 |         58 |
| stella_vslam_dense_argus/test/stella_vslam/solve                                                                          |          4 |        559 |        118 |        147 |        824 |
| stella_vslam_dense_argus/test/stella_vslam/util                                                                           |          3 |        163 |         38 |         43 |        244 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                  | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/jklasen/A-DRZ/argus/README.md                                                                                       | Markdown           |         54 |          0 |         23 |         77 |
| /home/jklasen/A-DRZ/argus/app/Dockerfile                                                                                  | Docker             |         11 |          0 |          7 |         18 |
| /home/jklasen/A-DRZ/argus/app/__init__.py                                                                                 | Python             |          0 |          0 |          1 |          1 |
| /home/jklasen/A-DRZ/argus/app/data_share_manager.py                                                                       | Python             |         77 |          3 |         17 |         97 |
| /home/jklasen/A-DRZ/argus/app/detection_manager.py                                                                        | Python             |         36 |          2 |          8 |         46 |
| /home/jklasen/A-DRZ/argus/app/export/export_sqlite3_to_nerf.py                                                            | Python             |        213 |         21 |         65 |        299 |
| /home/jklasen/A-DRZ/argus/app/export/util.py                                                                              | Python             |         17 |          1 |          4 |         22 |
| /home/jklasen/A-DRZ/argus/app/keyframes.py                                                                                | Python             |         68 |          0 |         13 |         81 |
| /home/jklasen/A-DRZ/argus/app/main.py                                                                                     | Python             |         22 |         10 |         15 |         47 |
| /home/jklasen/A-DRZ/argus/app/mapping/__init__.py                                                                         | Python             |          0 |          0 |          1 |          1 |
| /home/jklasen/A-DRZ/argus/app/mapping/camera_metadata_tags.json                                                           | JSON               |        114 |          0 |          2 |        116 |
| /home/jklasen/A-DRZ/argus/app/mapping/camera_properties.py                                                                | Python             |         58 |          1 |         13 |         72 |
| /home/jklasen/A-DRZ/argus/app/mapping/camera_specs.json                                                                   | JSON               |         12 |          0 |          2 |         14 |
| /home/jklasen/A-DRZ/argus/app/mapping/exif_header.py                                                                      | Python             |        254 |         24 |         62 |        340 |
| /home/jklasen/A-DRZ/argus/app/mapping/filter.py                                                                           | Python             |         18 |          1 |          6 |         25 |
| /home/jklasen/A-DRZ/argus/app/mapping/filter_thread.py                                                                    | Python             |         24 |         11 |         32 |         67 |
| /home/jklasen/A-DRZ/argus/app/mapping/gimbal_pitch_filter.py                                                              | Python             |         21 |          1 |          7 |         29 |
| /home/jklasen/A-DRZ/argus/app/mapping/gps.py                                                                              | Python             |        131 |         76 |         30 |        237 |
| /home/jklasen/A-DRZ/argus/app/mapping/image.py                                                                            | Python             |        120 |          3 |         27 |        150 |
| /home/jklasen/A-DRZ/argus/app/mapping/imageTypeSorter.py                                                                  | Python             |         51 |          1 |         17 |         69 |
| /home/jklasen/A-DRZ/argus/app/mapping/image_mapper.py                                                                     | Python             |        477 |         16 |        107 |        600 |
| /home/jklasen/A-DRZ/argus/app/mapping/image_mapper_process.py                                                             | Python             |        330 |         36 |         45 |        411 |
| /home/jklasen/A-DRZ/argus/app/mapping/image_processor.py                                                                  | Python             |        249 |         30 |         79 |        358 |
| /home/jklasen/A-DRZ/argus/app/mapping/infrared_rgb_sorter.py                                                              | Python             |         94 |          3 |         30 |        127 |
| /home/jklasen/A-DRZ/argus/app/mapping/ir_camera_resolutions.json                                                          | JSON               |          6 |          0 |          0 |          6 |
| /home/jklasen/A-DRZ/argus/app/mapping/map.py                                                                              | Python             |        217 |         58 |         82 |        357 |
| /home/jklasen/A-DRZ/argus/app/mapping/map_element.py                                                                      | Python             |         36 |          1 |         10 |         47 |
| /home/jklasen/A-DRZ/argus/app/mapping/map_scaler.py                                                                       | Python             |        248 |         77 |         85 |        410 |
| /home/jklasen/A-DRZ/argus/app/mapping/mapper_thread.py                                                                    | Python             |        169 |         12 |         48 |        229 |
| /home/jklasen/A-DRZ/argus/app/mapping/metadata.py                                                                         | Python             |        288 |          5 |         62 |        355 |
| /home/jklasen/A-DRZ/argus/app/mapping/pano_filter.py                                                                      | Python             |         22 |          1 |          9 |         32 |
| /home/jklasen/A-DRZ/argus/app/mapping/rectangle.py                                                                        | Python             |         46 |          1 |         14 |         61 |
| /home/jklasen/A-DRZ/argus/app/mapping/sorter.py                                                                           | Python             |         18 |          1 |          6 |         25 |
| /home/jklasen/A-DRZ/argus/app/mapping/weather.py                                                                          | Python             |         45 |          7 |         15 |         67 |
| /home/jklasen/A-DRZ/argus/app/mapping/xmp.py                                                                              | Python             |         68 |          1 |         11 |         80 |
| /home/jklasen/A-DRZ/argus/app/nodeodm_manager.py                                                                          | Python             |        121 |         31 |         31 |        183 |
| /home/jklasen/A-DRZ/argus/app/project_manager.py                                                                          | Python             |        911 |         73 |        228 |      1,212 |
| /home/jklasen/A-DRZ/argus/app/server.py                                                                                   | Python             |      1,319 |         87 |        197 |      1,603 |
| /home/jklasen/A-DRZ/argus/app/slam_manager.py                                                                             | Python             |         72 |          0 |          8 |         80 |
| /home/jklasen/A-DRZ/argus/app/static/default/Westfälische_Hochschule_Logo.svg                                             | XML                |          8 |          0 |          0 |          8 |
| /home/jklasen/A-DRZ/argus/app/static/default/dropzone.min.css                                                             | CSS                |          1 |          0 |          0 |          1 |
| /home/jklasen/A-DRZ/argus/app/static/default/dropzone.min.js                                                              | JavaScript         |          1 |          0 |          0 |          1 |
| /home/jklasen/A-DRZ/argus/app/static/default/fabric.min.js                                                                | JavaScript         |          1 |          0 |          0 |          1 |
| /home/jklasen/A-DRZ/argus/app/static/default/gradient_luts/gradient_lut_1.json                                            | JSON               |          1 |          0 |          0 |          1 |
| /home/jklasen/A-DRZ/argus/app/static/default/gradient_luts/gradient_lut_10.json                                           | JSON               |          1 |          0 |          0 |          1 |
| /home/jklasen/A-DRZ/argus/app/static/default/gradient_luts/gradient_lut_2.json                                            | JSON               |          1 |          0 |          0 |          1 |
| /home/jklasen/A-DRZ/argus/app/static/default/gradient_luts/gradient_lut_3.json                                            | JSON               |          1 |          0 |          0 |          1 |
| /home/jklasen/A-DRZ/argus/app/static/default/gradient_luts/gradient_lut_4.json                                            | JSON               |          1 |          0 |          0 |          1 |
| /home/jklasen/A-DRZ/argus/app/static/default/gradient_luts/gradient_lut_5.json                                            | JSON               |          1 |          0 |          0 |          1 |
| /home/jklasen/A-DRZ/argus/app/static/default/gradient_luts/gradient_lut_6.json                                            | JSON               |          1 |          0 |          0 |          1 |
| /home/jklasen/A-DRZ/argus/app/static/default/gradient_luts/gradient_lut_7.json                                            | JSON               |          1 |          0 |          0 |          1 |
| /home/jklasen/A-DRZ/argus/app/static/default/gradient_luts/gradient_lut_8.json                                            | JSON               |          1 |          0 |          0 |          1 |
| /home/jklasen/A-DRZ/argus/app/static/default/gradient_luts/gradient_lut_9.json                                            | JSON               |          1 |          0 |          0 |          1 |
| /home/jklasen/A-DRZ/argus/app/static/default/jquery-3.6.3.js                                                              | JavaScript         |      6,914 |      1,981 |      2,099 |     10,994 |
| /home/jklasen/A-DRZ/argus/app/static/default/js/CameraFrames.js                                                           | JavaScript         |        161 |          5 |         48 |        214 |
| /home/jklasen/A-DRZ/argus/app/static/default/js/Mouse.js                                                                  | JavaScript         |         93 |         46 |         18 |        157 |
| /home/jklasen/A-DRZ/argus/app/static/default/js/PointCloud.js                                                             | JavaScript         |        136 |          9 |         36 |        181 |
| /home/jklasen/A-DRZ/argus/app/static/default/js/ViewControls.js                                                           | JavaScript         |        249 |         10 |         68 |        327 |
| /home/jklasen/A-DRZ/argus/app/static/default/js/lib/dat.gui.min.js                                                        | JavaScript         |          1 |         12 |          1 |         14 |
| /home/jklasen/A-DRZ/argus/app/static/default/js/lib/protobuf.min.js                                                       | JavaScript         |          1 |          7 |          1 |          9 |
| /home/jklasen/A-DRZ/argus/app/static/default/js/lib/stats.min.js                                                          | JavaScript         |          4 |          1 |          1 |          6 |
| /home/jklasen/A-DRZ/argus/app/static/default/js/lib/three.min.js                                                          | JavaScript         |        983 |          1 |          1 |        985 |
| /home/jklasen/A-DRZ/argus/app/static/default/js/main.js                                                                   | JavaScript         |        216 |         48 |         45 |        309 |
| /home/jklasen/A-DRZ/argus/app/static/default/js/socket.io.min.js                                                          | JavaScript         |          1 |          6 |          1 |          8 |
| /home/jklasen/A-DRZ/argus/app/static/default/panellum/pannellum.css                                                       | CSS                |          1 |          1 |          0 |          2 |
| /home/jklasen/A-DRZ/argus/app/static/default/panellum/pannellum.js                                                        | JavaScript         |        109 |          1 |          1 |        111 |
| /home/jklasen/A-DRZ/argus/app/static/default/stitcher/stitcher_calibration.json                                           | JSON               |        106 |          0 |          0 |        106 |
| /home/jklasen/A-DRZ/argus/app/static/default/template.yaml                                                                | YAML               |         48 |         25 |         19 |         92 |
| /home/jklasen/A-DRZ/argus/app/static/default/ui-elements/icon-back.svg                                                    | XML                |          6 |          0 |          0 |          6 |
| /home/jklasen/A-DRZ/argus/app/static/default/ui-elements/icon-confirm.svg                                                 | XML                |          6 |          0 |          0 |          6 |
| /home/jklasen/A-DRZ/argus/app/static/default/ui-elements/icon-delete.svg                                                  | XML                |          6 |          0 |          0 |          6 |
| /home/jklasen/A-DRZ/argus/app/static/default/ui-elements/icon-edit.svg                                                    | XML                |          6 |          0 |          0 |          6 |
| /home/jklasen/A-DRZ/argus/app/static/default/ui-elements/icon-share.svg                                                   | XML                |          6 |          0 |          0 |          6 |
| /home/jklasen/A-DRZ/argus/app/static/default/ui-elements/icons-all.svg                                                    | XML                |         28 |          0 |          0 |         28 |
| /home/jklasen/A-DRZ/argus/app/static/default/variables-dark.css                                                           | CSS                |         34 |          0 |          4 |         38 |
| /home/jklasen/A-DRZ/argus/app/static/default/variables-light.css                                                          | CSS                |         23 |          0 |          2 |         25 |
| /home/jklasen/A-DRZ/argus/app/templates/aiDetector.html                                                                   | HTML               |      1,203 |          0 |        246 |      1,449 |
| /home/jklasen/A-DRZ/argus/app/templates/aiDetectorSlam.html                                                               | HTML               |        692 |          0 |        108 |        800 |
| /home/jklasen/A-DRZ/argus/app/templates/baseReport.html                                                                   | HTML               |        486 |          1 |         91 |        578 |
| /home/jklasen/A-DRZ/argus/app/templates/cameraSpecs.html                                                                  | HTML               |        142 |          0 |         26 |        168 |
| /home/jklasen/A-DRZ/argus/app/templates/detectionPopup.html                                                               | HTML               |        227 |          0 |         47 |        274 |
| /home/jklasen/A-DRZ/argus/app/templates/flightData.html                                                                   | HTML               |         19 |          0 |          1 |         20 |
| /home/jklasen/A-DRZ/argus/app/templates/footer.html                                                                       | HTML               |         77 |          0 |         11 |         88 |
